2023-06-26 21:14:12.104 [main] INFO  cn.hyperchain.ink.web.InkWebApplication(55) - Starting InkWebApplication using Java 1.8.0_291 on zhangruideMacBook-Pro-M1.local with PID 38730 (/Users/zhangrui/jiaofuProjects/ink-cloud/ink-web/target/classes started by zhangrui in /Users/zhangrui/jiaofuProjects/ink-cloud)
2023-06-26 21:14:12.108 [main] INFO  cn.hyperchain.ink.web.InkWebApplication(637) - The following 1 profile is active: "dev"
2023-06-26 21:14:13.094 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - Skipping MapperFactoryBean with name 'taAttachmentMapper' and 'cn.hyperchain.ink.core.dao.mapper.TaAttachmentMapper' mapperInterface. Bean already defined with the same name!
2023-06-26 21:14:13.095 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - Skipping MapperFactoryBean with name 'taUserMapper' and 'cn.hyperchain.ink.core.dao.mapper.TaUserMapper' mapperInterface. Bean already defined with the same name!
2023-06-26 21:14:13.096 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner(44) - No MyBatis mapper was found in '[cn.hyperchain.ink.*.dao]' package. Please check your configuration.
2023-06-26 21:14:13.253 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(262) - Multiple Spring Data modules found, entering strict repository configuration mode
2023-06-26 21:14:13.257 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(132) - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-26 21:14:13.281 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(201) - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2023-06-26 21:14:13.917 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer(108) - Tomcat initialized with port(s): 8080 (http)
2023-06-26 21:14:13.997 [main] INFO  org.apache.catalina.core.StandardService(173) - Starting service [Tomcat]
2023-06-26 21:14:13.999 [main] INFO  org.apache.catalina.core.StandardEngine(173) - Starting Servlet engine: [Apache Tomcat/9.0.70]
2023-06-26 21:14:14.180 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/](173) - Initializing Spring embedded WebApplicationContext
2023-06-26 21:14:14.181 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext(292) - Root WebApplicationContext: initialization completed in 1973 ms
2023-06-26 21:14:14.410 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure(56) - Init DruidDataSource
